DATE,SP500,GOOGLE,AMAZON,APPLE,MICROSOFT
2004-12-21,1205.449951,91.531914,39.389999,4.549286,27.07
2004-12-22,1209.569946,92.802155,39.52,4.553571,26.969999
2004-12-23,1210.130005,93.599167,38.93,4.572143,27.01
2004-12-27,1204.920044,95.59668,42.25,4.511428,26.85
2004-12-28,1213.540039,96.020096,44.630001,4.584286,26.950001
2004-12-29,1213.449951,96.089828,44.82,4.602857,26.9
2004-12-30,1213.550049,98.431053,44.970001,4.628572,26.76
2004-12-31,1211.920044,96.035034,44.290001,4.6,26.719999
2005-01-03,1202.079956,100.976517,44.52,4.520714,26.74
2005-01-04,1188.050049,96.886841,42.139999,4.567143,26.84
2005-01-05,1183.73999,96.393692,41.77,4.607143,26.780001
2005-01-06,1187.890015,93.922951,41.049999,4.610714,26.75
2005-01-07,1186.189941,96.563057,42.32,4.946429,26.67
2005-01-10,1190.25,97.165802,41.84,4.925714,26.799999
2005-01-11,1182.98999,96.408638,41.639999,4.611429,26.73
2005-01-12,1187.699951,97.325203,42.299999,4.675714,26.780001
2005-01-13,1177.449951,97.300293,42.599998,4.985714,26.27
2005-01-14,1184.52002,99.611633,44.549999,5.014286,26.120001
2005-01-18,1195.97998,101.56929,44.580002,5.046429,26.32
2005-01-19,1184.630005,98.281616,43.959999,4.991428,25.98
2005-01-20,1175.410034,96.597931,42.360001,5.032857,25.860001
2005-01-21,1167.869995,93.78846,41.16,5.035,25.65
2005-01-24,1163.75,90.022575,40.380001,5.054286,25.67
2005-01-25,1168.410034,88.229294,40.939999,5.146429,26.02
2005-01-26,1174.069946,94.266663,41.34,5.160714,26.01
2005-01-27,1174.550049,93.688828,42.310001,5.188571,26.110001
2005-01-28,1171.359985,94.814613,42.220001,5.284286,26.18
2005-01-31,1181.27002,97.444756,43.220001,5.492857,26.280001
2005-02-01,1189.410034,95.591698,42.48,5.537857,26.389999
2005-02-02,1193.189941,102.595444,41.880001,5.687857,26.459999
2005-02-03,1189.890015,105.036301,35.75,5.557857,26.18
2005-02-04,1203.030029,101.798431,35.720001,5.631429,26.32
2005-02-07,1201.719971,97.648987,35.689999,5.638571,26.16
2005-02-08,1202.300049,98.949112,36.299999,5.778572,26.24
2005-02-09,1191.98999,95.432297,35.889999,5.624286,26.07
2005-02-10,1197.01001,93.639015,35.779999,5.597143,26.059999
2005-02-11,1205.300049,93.350098,35.779999,5.800714,25.969999
2005-02-14,1206.140015,96.134666,36.029999,6.045,26.01
2005-02-15,1210.119995,97.250481,36.139999,6.315,25.93
2005-02-16,1210.339966,98.834541,35.66,6.437857,25.790001
2005-02-17,1200.75,98.580498,35.689999,6.272143,25.65
2005-02-18,1201.589966,98.6054,35.310001,6.200714,25.48
2005-02-22,1184.160034,95.32769,34.720001,6.092143,25.23
2005-02-23,1190.800049,96.612869,34.139999,6.302143,25.200001
2005-02-24,1200.199951,94.092316,34.689999,6.352143,25.370001
2005-02-25,1211.369995,92.587959,34.990002,6.356429,25.25
2005-02-28,1203.599976,93.643997,35.18,6.408571,25.16
2005-03-01,1210.410034,92.682602,35.389999,6.357143,25.280001
2005-03-02,1210.079956,92.244247,35.5,6.302857,25.26
2005-03-03,1210.469971,93.15583,35.650002,5.97,25.17
2005-03-04,1222.119995,92.602905,35.849998,6.115714,25.17
2005-03-07,1225.310059,94.052467,36.32,6.107143,25.469999
2005-03-08,1219.430054,92.254211,35.830002,5.79,25.4
2005-03-09,1207.01001,90.336395,35.400002,5.621428,25.309999
2005-03-10,1209.25,89.653954,34.91,5.69,25.43
2005-03-11,1200.079956,88.568024,34.75,5.752857,25.09
2005-03-14,1206.829956,87.168274,34.599998,5.76,25.110001
2005-03-15,1197.75,88.971512,34.18,5.851429,24.91
2005-03-16,1188.069946,87.47213,33.869999,5.882857,24.629999
2005-03-17,1190.209961,89.310242,33.970001,6.035714,24.540001
2005-03-18,1189.650024,89.683846,34.16,6.137143,24.309999
2005-03-21,1183.780029,90.102272,33.669998,6.242857,24.200001
2005-03-22,1171.709961,88.96653,33.150002,6.118571,23.99
2005-03-23,1172.530029,89.155823,33.18,6.078571,24.18
2005-03-24,1171.420044,89.290321,32.880001,6.071429,24.280001
2005-03-28,1174.280029,90.371269,33.389999,6.075714,24.200001
2005-03-29,1165.359985,89.449722,33.43,5.964286,23.92
2005-03-30,1181.410034,89.888077,34.32,6.114286,24.16
2005-03-31,1180.589966,89.917969,34.27,5.952857,24.17
2005-04-01,1172.920044,89.683846,34.009998,5.841429,24.120001
2005-04-04,1176.119995,92.299042,35,5.87,24.23
2005-04-05,1181.390015,93.932915,35.279999,5.984286,24.469999
2005-04-06,1184.069946,94.256706,34.82,6.047143,24.67
2005-04-07,1191.140015,96.518227,34.900002,6.222857,25.1
2005-04-08,1181.199951,95.66642,34.599998,6.248571,24.940001
2005-04-11,1181.209961,96.254219,34.599998,5.988572,24.969999
2005-04-12,1187.76001,96.617851,34.630001,6.094285,25.32
2005-04-13,1173.790039,96.104774,34.299999,5.862857,25.040001
2005-04-14,1162.050049,95.367538,33.970001,5.322857,24.84
2005-04-15,1142.619995,92.154579,33.02,5.05,24.459999
2005-04-18,1145.97998,93.135902,33,5.088572,24.65
2005-04-19,1152.780029,95.342636,32.779999,5.298572,24.629999
2005-04-20,1137.5,98.680122,33.25,5.072857,24.32
2005-04-21,1159.949951,101.728699,33.73,5.311429,25.280001
2005-04-22,1152.119995,107.502052,33.040001,5.071429,24.98
2005-04-25,1162.099976,111.347641,33.529999,5.282857,24.99
2005-04-26,1151.829956,108.966568,32.709999,5.17,24.76
2005-04-27,1156.380005,109.479645,31.719999,5.135714,24.99
2005-04-28,1143.219971,109.315262,32.52,5.077143,24.450001
2005-04-29,1156.849976,109.589233,32.360001,5.151429,25.299999
2005-05-02,1162.160034,110.729958,33.099998,5.204286,25.23
2005-05-03,1161.170044,112.672676,33.209999,5.172857,25.360001
2005-05-04,1175.650024,113.823364,33.959999,5.307143,25.209999
2005-05-05,1172.630005,113.0662,33.959999,5.24,25.23
2005-05-06,1171.349976,113.584259,34.52,5.32,25.219999
2005-05-09,1178.839966,112.58799,34.639999,5.281428,25.110001
2005-05-10,1166.219971,113.47467,34.23,5.202857,24.9
2005-05-11,1171.109985,115.21315,33.82,5.087143,24.91
2005-05-12,1159.359985,113.932953,33.849998,4.875714,25
2005-05-13,1154.050049,114.191978,33.900002,4.967143,25.299999
2005-05-16,1165.689941,115.093597,34.540001,5.078571,25.49
2005-05-17,1173.800049,116.129715,34.73,5.051429,25.459999
2005-05-18,1185.560059,119.133461,35.330002,5.12,25.700001
2005-05-19,1191.079956,119.143425,35.59,5.364286,25.92
2005-05-20,1189.280029,120.353882,35.5,5.364286,25.74
2005-05-23,1193.859985,127.248047,35.68,5.68,25.85
2005-05-24,1194.069946,127.522018,35.540001,5.671429,25.75
2005-05-25,1190.01001,129.91803,35.25,5.682857,25.709999
2005-05-26,1197.619995,129.116043,35.450001,5.82,25.9
2005-05-27,1198.780029,132.503342,35.5,5.794286,26.07
2005-05-31,1191.5,138.11731,35.509998,5.68,25.799999
2005-06-01,1202.219971,143.462265,36.5,5.757143,25.809999
2005-06-02,1204.290039,143.41246,36.41,5.72,25.790001
2005-06-03,1196.02002,139.60672,35.59,5.462857,25.43
2005-06-06,1197.51001,144.926773,35.77,5.417143,25.370001
2005-06-07,1197.26001,146.012711,35.349998,5.22,25.51
2005-06-08,1194.670044,139.258026,34.830002,5.274286,25.4
2005-06-09,1200.930054,142.620422,35.200001,5.378572,25.51
2005-06-10,1198.109985,140.722534,34.950001,5.115714,25.43
2005-06-13,1200.819946,140.847076,34.869999,5.128572,25.309999
2005-06-14,1203.910034,138.655289,35.040001,5.142857,25.360001
2005-06-15,1206.579956,136.886917,35.240002,5.304286,25.26
